COOKING_SLOT,DRAG ITEMS HERE TO COOK,PRZECIĄGNIJ TUTAJ PRZEDMIOTY DO UGOTOWANIA
EMPTY_RECIPE_SLOT,COME BACK LATER,WRÓĆ PÓŹNIEJ
FUEL_FULL,{0} is full,Napełniono: {0}
FUEL_ZERO,{0} ran out of fuel,Brak paliwa: {0}
INVENTORY_SLOT,DRAG ITEMS HERE,PRZECIĄGNIJ TUTAJ PRZEDMIOTY
PROGRESS_FULL,{0} is complete,Zakończono: {0}
PROGRESS_ZERO,{0} ran out of uses,Wyczerpano: {0}
SPOILAGE_FULL,{0} is good as new,Jak nowe: {0}
SPOILAGE_ZERO,{0} spoiled,Zepsute: {0}
USAGE_FULL,{0} is good as new,Jak nowe: {0}
USAGE_ZERO,{0} broke,Zepsute: {0}
DEMO_OVER,END OF FIRST DAYS,KONIEC WERSJI DEMO (PIERWSZE DNI)
DIFFICULTY_SCORE,Difficulty: {0}pts,Poziom trudności: {0}pkt
DISCARD_ACTION_DESC,Permanently get rid of this object.,Permanentnie pozbądź się tego obiektu.
DISCARD_ACTION_TITLE,Discard,Odrzuć
DISMANTLE_DESC,Collect all items and revert to previous building stage.,Zbierz wszystkie przedmioty i wróć do poprzedniego etapu budowy.
DISMANTLE_DESC_FIRST_STEP,Collect all items and destroy building.,Zbierz wszystkie przedmioty i zniszcz budynek.
DURATION,Duration,Czas trwania
EMPTY,Empty,Puste
NO_CHARACTER_BIO,You don't remember anything before the island...,Nie pamiętasz niczego sprzed trafienia na wyspę...
EQUIP_CARD,Equip {0},Załóż: {0}
EQUIPMENT,Equipment,Ekwipunek
EVENT_TITLE,EVENT,WYDARZENIE
EXPLORATION,Exploration,Eksploracja
EXPLORED,Explored,Zwiedzono
EXPLORING,Exploring,Eksplorowanie
FILL_WITH_LIQUID,Fill {0} with {1},Napełnij {0}: {1}
FINISHED_COOKING,{0} finished cooking {1},{0} - koniec gotowania: {1}
FINISHED_COOKING_EMPTY,{0} is ready,{0} jest gotowe
GAME_OVER,GAME OVER,KONIEC GRY
PLACEHOLDER_DISCLAIMER,{0}\n\n<b>-The text above is a placeholder-</b>,{0}\n\n<b>-Powyższy tekst jest tymczasowy-</b>
HOLD_FOR_ACTION,Hold for action...,"Przytrzymaj, aby wykonać akcję..."
HOLD,Hold,Przytrzymaj
HOPE_GOOD_TIME,We hope you had a good time!,"Mamy nadzieję, że gra sprawiła Ci przyjemność!"
FORMAT_HOURS,0h,0h
HOVER,Hover,Najedź
IMPORT_PORTRAIT,Import Custom Portrait,Importuj własny portret
IMPOSSIBLE_ACTION,I can't do this now...,Nie mogę tego teraz zrobić...
IMPROVEMENT_DESC,{0} on a card for info,"Na karcie - {0}, aby uzyskać informacje"
IMPROVEMENTS,Improvements,Ulepszenia
INSPECTION_TITLE,DETAILS,SZCZEGÓŁY
INVENTORY_CANNOT_CARRY,{0} doesn't have room for this...,{0} nie ma na to miejsca...
INVENTORY_FULL,inventory full,ekwipunek jest pełny
IS_NOT_EQUIPMENT,{0} is not equippable,Nie da się wyposażyć: {0}
JOURNAL_SUBTITLE_NAME,The {0} tale of {2}\n({1}),{0} opowieść o {2}\n({1})
LIQUID_AUTO_FILLING,Filling with {0},Napełnianie {0}
LIQUID_CONTAINER_EMPTY,{0} is empty,{0} jest pusty
LIQUID_TRANSFER,Transfer Liquid,Przelej płyn
LOAD,Load,Ładuj
LOADING,LOADING,ŁADOWANIE
FORMAT_MINUTES,0min,0min
MISSING_CARD_INHAND,Missing {0} in hand,Brakuje w ręce: {0}
MISSING_CARD_ONBOARD,Missing {0},Brakuje: {0}
MOVE_ITEM_TO_LOCATION,Move {0} to {1},Przenieś: {0} do {1}
NEW_BLUEPRINT,New Blueprint,Nowy schemat
NEW_DAMAGE,Something got damaged!,Coś zostało uszkodzone!
NEW_IMPROVEMENT,New Improvement,Nowe usprawnienie
NO_DAMAGES,No Damages To Repair,Brak uszkodzeń do naprawy
NO_IMPROVEMENTS,No Improvements Unlocked,Brak odblokowanych usprawnień
NONE,None,Brak
OFFICIAL_CHARACTERS,Premade Characters,Gotowe postacie
PAUSED,Paused,Zatrzymano
PLAYER_CANNOT_CARRY,This is more than I can carry...,To więcej niż mogę unieść...
RESEARCH,Research,Badania
RESEARCHING,Researching...,Badanie...
RESUME,Resume,Wznów
SAFETY_MODE,Safety Mode,Tryb bezpieczny
SAVE,Save,Zapisz
SAVE_NEW_GAME,Save New Game,Zapisz nową grę
SELECT_CHARACTER,SELECT CHARACTER,WYBIERZ POSTAĆ
SELECTED_CARDS,Selected Cards,Wybrane karty
SLOT,Slot,Zapis
START_BUILDING,Start the construction of ,Rozpocznij budowę
STAT_INFLUENCES,Influenced by,Pod wpływem
INVENTORY_STORE,Store inside,Przechowaj wewnątrz
SUCCESS_CHANCE,Success,Sukces
SURVIVAL_BONUS,Survival bonus,Premia za przetrwanie
TIME_IS_BETWEEN,It's between {0} and {1},Jest między {0} a {1}
TIP,Tip,Porada
TRANSFER_TO_LOCATION,Move Item,Przenieś przedmiot
TRASH_CONFIRM,Throw {0} away?,Wyrzucić: {0}?
DEMO_UNAVAILABLE,Full Game Only,Tylko w pełnej wersji
UNKNOWN_AUTHOR,Unknown Author,Nieznany autor
TO_UNLOCK,To unlock: ,Aby odblokować:
VICTORY,I SURVIVED!,UDAŁO SIĘ PRZETRWAĆ!
VICTORY_BONUS,Victory Bonus,Premia za zwycięstwo
WOUNDS,Wounds,Rany
HELP,Help,Pomoc
OBJECTIVE_COMPLETE,OBJECTIVE COMPLETE,ZADANIE UKOŃCZONE
FONT_STYLE,Font Style,Styl czcionki
AMBIENCE,Ambience,Dźwięki tła
SFX,Sound Effects,Efekty dźwiękowe
CUSTOMIZE_UI,Customize UI (Coming Soon),Dostosuj interfejs użytkownika (Wkrótce)
INTERFACE,INTERFACE,INTERFEJS
VOLUME,VOLUME,GŁOŚNOŚĆ
MISC,MISC.,RÓŻNE
RESET_GAME,Reset Game,Zresetuj grę
REVERT_OPTIONS,Revert to Default Options,Przywróć domyślne ustawienia
VISUAL_EFFECTS,Visual effects,Efekty graficzne
VSYNC,VSync,VSync
NO,No,Nie
YES,Yes,Tak
FULLSCREEN,Fullscreen,Pełny ekran
DISPLAY,DISPLAY,WYŚWIETLACZ
SCROLL_SENSITIVITY,Scroll Sensitivity,Czułość przewijania
APPLY,Apply,Zastosuj
RESOLUTION,Resolution,Rozdzielczość
RESET_GAME_CONFIRM,"This will delete all progress, custom characters and unlocked perks, and reset the options.\nReset the game?","Spowoduje to usunięcie wszystkich postępów, własnych postaci, odblokowanych modyfikatorów oraz zresetowanie opcji.\nZresetować grę?"
OPTIONS_MENU_TITLE,OPTIONS,OPCJE
CONFIRM_DELETE_SLOT,Delete this slot?,Usunąć ten zapis?
GAMEMODE_LIST,GAMEMODES,TRYBY GRY
EASY_MODE_TITLE,EASY MODE,TRYB ŁATWY
CARD_INSPECTION_TITLE,DETAILS,SZCZEGÓŁY
PURCHASE,Purchase,Odblokuj
MIDJOURNEY,Portraits created using MidJourney,Portrety stworzone przy użyciu MidJourney
SAVE_CHARACTER,Save Character,Zapisz postać
SAFE_MODE,Safety Mode,Tryb bezpieczny
SAVEFILE_WRITING_ERROR,"It seems there was an error while attempting to write the save file for the game. \n\nUnfortunately this means your current game can't be saved. If you have opened your save file in another program this could be the cause for the error, close that program and try saving again.\n\nIf this is not the case and this message keeps appearing, please notify us in the Steam forums and send us your Player.log file at winterspringgames@gmail.com. Our apologies for the inconvenience.","Wygląda na to, że wystąpił błąd podczas próby zapisania gry.\n\nNiestety oznacza to, że bieżąca gra nie może zostać zapisana. Jeśli otworzyłeś plik zapisu w innym programie, może to być przyczyną błędu, zamknij ten program i spróbuj zapisać ponownie.\n\nJeśli tak nie jest i ta wiadomość nadal się pojawia, powiadom nas na forach Steam i prześlij plik Player.log na adres winterspringgames@gmail.com. Przepraszamy za niedogodności."
EQUIPPED_PERKS,Equipped Perks,Wybrane modyfikatory
CREATE_CHARACTER_DESC,Customize the experience by creating your own character,"Dostosuj grę do swoich potrzeb, tworząc własną postać"
DONT_REMIND_EASY_PACKAGE,"Yes, stop reminding me","Tak, przestań mi przypominać"
SPECIAL_THANKS,Special thanks to:,Szczególne podziękowania dla:
SELECT_A_PERK,SELECT A PERK,Wybierz modyfikator
EXIT_CHARACTER_WITHOUT_SAVING,Exit without saving?,Wyjść bez zapisywania?
STARTING_CONDITIONS,Starting Conditions,Warunki początkowe
EXIT_CHARACTER_WITHOUT_NAME,Please enter a name for your character,Proszę podać imię dla postaci
START_GAME_BUTTON,START GAME,ROZPOCZNIJ GRĘ
CREATE_NEW_CHARACTER,CREATE NEW CHARACTER,STWÓRZ NOWĄ POSTAĆ
OK,OK,OK
DELETING_PORTRAIT,DELETING CUSTOM PORTRAIT...,USUWANIE PORTRETU...
ALLOWED_CHARACTERS,Allowed Characters,Dozwolone postacie
OUR_PATRONS,Our supporters on Patreon:,Nasi wspierający na Patreon:
LOADING_PORTRAITS,LOADING CUSTOM PORTRAITS...,ŁADOWANIE PORTRETÓW...
SELECT_GAMEMODE,NEW GAME - SELECT GAMEMODE,NOWA GRA - WYBIERZ TRYB
DELETE_CONFIRM,Are you sure you want to delete?\n,"Czy na pewno chcesz usunąć?\n"
QUIT_CONFIRM_MENU,Quit the game?,Zakończyć grę?
OUR_OTHER_GAMES,Our other games,Nasze inne gry
EASY_PACKAGE_TOGGLE,Easy Mode,Tryb łatwy
DEMO_SAVEWRITING_WARNING,"<b>IMPORTANT NOTE:</b>\nYOUR PROGRESS WILL NOT BE SAVED\n\n""The First Days"" cannot store progress on saves created by the full game.","<b>WAŻNA UWAGA:</b>\nTWÓJ POSTĘP NIE ZOSTANIE ZAPISANY\n\n""Pierwsze dni"" nie mogą zapisać postępu w plikach zapisu utworzonych przez pełną wersję gry."
CANCEL_EASY_PACKAGE,Cancel,Anuluj
EASY_PACKAGE_DESC,Card Survival is designed to be challenging and unforgiving.\n\nEasy Mode provides you with basic supplies so you can have more time to learn and train.,"Card Survival jest zaprojektowane tak, aby stanowiło wyzwanie i nie wybaczało błędów.\n\nTryb łatwy zapewnia podstawowe zaopatrzenie, dzięki czemu masz więcej czasu na naukę i trening."
GAME_BY,By WinterSpring Games:,Od WinterSpring Games:
INFO_AND_NEWS,INFO & NEWS,INFO & NOWOŚCI
IMPORTING_PORTRAIT,IMPORTING CUSTOM PORTRAIT...,IMPORTOWANIE WŁASNEGO PORTRETU...
ENTER_NAME,ENTER NAME,WPROWADŹ IMIĘ
SELECT_GAME,SELECT GAME,WYBIERZ GRĘ
NEXT,NEXT,DALEJ
DELETE_PORTRAIT_CONFIRM,Delete custom portrait?,Usunąć portret?
ENTER_BIO,Enter Character Bio,Wprowadź opis postaci
PLAY,PLAY,GRAJ
CHARACTERS,CHARACTERS,POSTACIE
BOUGHT,Purchased,Odblokowane
MOONS_TITLE,Moons,Księżyce
MOONS_DESC,You earn one moon per 30 days of survival,Zdobywasz jeden księżyc za każde 30 dni przetrwania
SAFETY_MODE_TITLE,Safety Mode,Tryb bezpieczny
SAFETY_MODE_DESC,Allows you to restart the day from the menu or when you die.,Pozwala na restart dnia z menu lub po śmierci.
SUNS_TITLE,Suns,Słońca
SUNS_DESC,You earn one sun per day of survival,Zdobywasz jedno słońce za każdy dzień przetrwania
CANCEL_ACTION,CANCEL,ANULUJ
NO_BLUEPRINT_AVAILABLE,Explore and find items to unlock blueprints,"Zwiedzaj i znajduj przedmioty, aby odblokować nowe schematy"
BLUEPRINT_MODELS,BLUEPRINTS,PLANY
CONFIRM_QUESTION,Confirm?,Potwierdzić?
GO_TO_MENU,Go to menu,Przejdź do menu
OPTIONS,Options,Opcje
RESTART_DAY,Restart Day,Zacznij dzień od nowa
SAVE_AND_QUIT,Save and Quit,Zapisz i zakończ
CHECKPOINT_CONFIRM,Restart from the start of this day?,Cofnąć do początku tego dnia?
QUIT_CONFIRM,Save and quit to main menu?,Zapisać i wyjść do głównego menu?
STATS_TITLE,STATS,STATYSTYKI
AUTOFILL,Fill Required Items,Uzupełnij wymagane przedmioty
THROW_AWAY,Throw away,Wyrzuć
RENAME_CARD,Rename Card,Zmień nazwę karty
THROW_ALL_AWAY,Throw \nall away,Wyrzuć \nwszystkie
THROW_ONE_AWAY,Throw 1 away,Wyrzuć 1
CONFIRM_CAPS,CONFIRM,POTWIERDŹ
BLUEPRINT_RESEARCHED_TITLE,BLUEPRINT RESEARCHED,ZBADANO SCHEMAT
BLUEPRINT_RESEARCHED_DESC,I discovered a new Blueprint!,Odkryto nowy schemat!
PERK_UNLOCKED,PERK UNLOCKED!,ODBLOKOWANO NOWY MODYFIKATOR!
SEARCH,Search...,Szukaj...
WEATHER_INDICATOR,Weather:,Pogoda:
BUY,Buy,Kup
SURVIVAL_CODEX,SURVIVAL GUIDE,PORADNIK PRZETRWANIA
DRAG_TO_BUILD,(Drag here to build),"(Przeciągnij tutaj, aby zbudować)"
MENU,MENU,MENU
PERK_INSTRUCTIONS,Use Perks to create new playable characters!,"Użyj modyfikatorów, aby stworzyć własne unikalne postacie!"
FULL_GAME_FEATURES,"All Characters + Character Creator\nAll Island Environments, Animals, Crops and Blueprints","Wszystkie postacie + Kreator postaci\nWszystkie środowiska wyspy, zwierzęta, uprawy i schematy"
SAVING_ERROR_TEXT,"It seems there was an error while attempting to write the save file for the game. \n\nUnfortunately this means your current game can't be saved. If you have opened your save file in another program this could be the cause for the error, close that program and try saving again.\n\nIf this is not the case and this message keeps appearing, please notify us in the Steam forums and send us your Player.log file at winterspringgames@gmail.com. Our apologies for the inconvenience.\n\nIn the meantime, what would you like to do?","Wygląda na to, że wystąpił błąd podczas próby zapisania gry.\n\nNiestety oznacza to, że bieżąca gra nie może zostać zapisana. Jeśli otworzyłeś plik zapisu w innym programie, to może być przyczyną błędu, zamknij ten program i spróbuj zapisać ponownie.\n\nJeśli tak nie jest i ta wiadomość nadal się pojawia, powiadom nas na forach Steam i prześlij plik Player.log na adres winterspringgames@gmail.com. Przepraszamy za niedogodności.\n\nW międzyczasie, co chcesz zrobić?"
FOR_THE_FULL_EXPERIENCE,For the full experience click on the image below:,"Aby doświadczyć gry w pełni, kliknij na poniższy obrazek:"
OPEN_JOURNAL,Open Journal,Otwórz dziennik
CONTINUE,Continue,Kontynuuj
DIARY,Diary,Pamiętnik
JOURNAL,Journal,Dziennik
BLUEPRINTS,Blueprints,Schematy
WAITING_OPTIONS,Waiting Options,Opcje oczekiwania
SKILLS,Skills,Umiejętności
STATS,Stats,Statystyki
BG_Campfire_GroupName,Campfire,Ognisko
BG_Loom_GroupName,Loom,Krosno
BG_Puddle_GroupName,Puddle,Kałuża
BG_Raincatcher_GroupName,Raincatcher,Łapacz deszczu
BG_Reservoir_GroupName,Water Reservoir,Zbiornik wody
BG_Stove_GroupName,Stove,Kuchenka
Filter_Camp_GameName,Camp,Obóz
Filter_Crafting_GameName,Crafting,Wytwarzanie
Filter_Food_GameName,Food,Jedzenie
Filter_Water_GameName,Water,Woda
BedRoll_CardName,Bedroll,Śpiwór
BedRoll_CardDescription,A portable sleeping bag.,Przenośny śpiwór.
BedRoll_DismantleActions[0].ActionName,Nap,Drzemaj
BedRoll_DismantleActions[0].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Za bardzo chce mi się pić, żeby usnąć..."
BedRoll_DismantleActions[0].StatInterruptions[2].Notification,I'm too hot to sleep...,"Jest mi zbyt gorąco, żeby usnąć..."
BedRoll_DismantleActions[0].StatInterruptions[3].Notification,I'm too cold to sleep...,"Jest mi zbyt zimno, żeby usnąć..."
BedRoll_DismantleActions[0].StatInterruptions[4].Notification,I'm losing too much blood...,Tracę za dużo krwi...
BedRoll_DismantleActions[0].StatInterruptions[5].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
BedRoll_DismantleActions[0].StatInterruptions[6].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
BedRoll_DismantleActions[0].StatInterruptions[7].Notification,I can't sleep in the middle of a storm!,Nie mogę spać w środku burzy!
BedRoll_DismantleActions[0].FadeMessage,Taking a nap...,Drzemka...
BedRoll_DismantleActions[1].ActionName,Sleep,Śpij
BedRoll_DismantleActions[1].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Za bardzo chce mi się pić, żeby usnąć..."
BedRoll_DismantleActions[1].StatInterruptions[2].Notification,I'm too hot to sleep...,"Jest mi zbyt gorąco, żeby usnąć..."
BedRoll_DismantleActions[1].StatInterruptions[3].Notification,I'm too cold to sleep...,"Jest mi zbyt zimno, żeby usnąć..."
BedRoll_DismantleActions[1].StatInterruptions[4].Notification,I'm losing too much blood...,Tracę za dużo krwi...
BedRoll_DismantleActions[1].StatInterruptions[5].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
BedRoll_DismantleActions[1].StatInterruptions[6].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
BedRoll_DismantleActions[1].StatInterruptions[7].Notification,I can't sleep in the middle of a storm!,Nie mogę spać w środku burzy!
BedRoll_DismantleActions[1].FadeMessage,Sleeping...,Spanie...
BedRoll_DismantleActions[2].ActionName,Dismantle,Rozbierz na części
BedRustic_CardName,Rustic Bed,Łóżko rustykalne
BedRustic_CardDescription,A nice wooden bed. My back will thank me.,"Ładne, drewniane łóżko. Mój kręgosłup będzie mi za nie wdzięczny."
BedRustic_DismantleActions[0].ActionName,Nap,Drzemaj
BedRustic_DismantleActions[0].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Za bardzo chce mi się pić, żeby usnąć..."
BedRustic_DismantleActions[0].StatInterruptions[2].Notification,I'm too hot to sleep...,"Jest mi zbyt gorąco, żeby usnąć..."
BedRustic_DismantleActions[0].StatInterruptions[3].Notification,I'm too cold to sleep...,"Jest mi zbyt zimno, żeby usnąć..."
BedRustic_DismantleActions[0].StatInterruptions[4].Notification,I'm losing too much blood...,Tracę za dużo krwi...
BedRustic_DismantleActions[0].StatInterruptions[5].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
BedRustic_DismantleActions[0].StatInterruptions[6].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
BedRustic_DismantleActions[0].FadeMessage,Taking a nap...,Drzemka...
BedRustic_DismantleActions[1].ActionName,Sleep,Śpij
BedRustic_DismantleActions[1].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Za bardzo chce mi się pić, żeby usnąć..."
BedRustic_DismantleActions[1].StatInterruptions[2].Notification,I'm too hot to sleep...,"Jest mi zbyt gorąco, żeby usnąć..."
BedRustic_DismantleActions[1].StatInterruptions[3].Notification,I'm too cold to sleep...,"Jest mi zbyt zimno, żeby usnąć..."
BedRustic_DismantleActions[1].StatInterruptions[4].Notification,I'm losing too much blood...,Tracę za dużo krwi...
BedRustic_DismantleActions[1].StatInterruptions[5].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
BedRustic_DismantleActions[1].StatInterruptions[6].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
BedRustic_DismantleActions[1].FadeMessage,Sleeping...,Spanie...
BedRustic_DismantleActions[2].ActionName,Dismantle,Rozbierz na części
BedWooden_CardName,Wooden Bed,Łóżko drewniane
BedWooden_CardDescription,A nice and comfortable wooden bed. My back will thank me.,Ładne i wygodne drewniane łóżko. Mój kręgosłup będzie mi za nie wdzięczny.
BedWooden_DismantleActions[0].ActionName,Nap,Drzemaj
BedWooden_DismantleActions[0].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Za bardzo chce mi się pić, żeby usnąć..."
BedWooden_DismantleActions[0].StatInterruptions[2].Notification,I'm too hot to sleep...,"Jest mi zbyt gorąco, żeby usnąć..."
BedWooden_DismantleActions[0].StatInterruptions[3].Notification,I'm too cold to sleep...,"Jest mi zbyt zimno, żeby usnąć..."
BedWooden_DismantleActions[0].StatInterruptions[4].Notification,I'm losing too much blood...,Tracę za dużo krwi...
BedWooden_DismantleActions[0].StatInterruptions[5].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
BedWooden_DismantleActions[0].StatInterruptions[6].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
BedWooden_DismantleActions[0].FadeMessage,Taking a nap...,Drzemka...
BedWooden_DismantleActions[1].ActionName,Sleep,Śpij
BedWooden_DismantleActions[1].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Za bardzo chce mi się pić, żeby usnąć..."
BedWooden_DismantleActions[1].StatInterruptions[2].Notification,I'm too hot to sleep...,"Jest mi zbyt gorąco, żeby usnąć..."
BedWooden_DismantleActions[1].StatInterruptions[3].Notification,I'm too cold to sleep...,"Jest mi zbyt zimno, żeby usnąć..."
BedWooden_DismantleActions[1].StatInterruptions[4].Notification,I'm losing too much blood...,Tracę za dużo krwi...
BedWooden_DismantleActions[1].StatInterruptions[5].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
BedWooden_DismantleActions[1].StatInterruptions[6].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
BedWooden_DismantleActions[1].FadeMessage,Sleeping...,Spanie...
Hammock_CardName,Hammock,Hamak
Hammock_CardDescription,A comfortable bed. My back is really going to thank me for this.,Wygodne łóżko. Mój kręgosłup będzie mi za to naprawdę wdzięczny.
Hammock_DismantleActions[0].ActionName,Nap,Drzemaj
Hammock_DismantleActions[0].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Za bardzo chce mi się pić, żeby usnąć..."
Hammock_DismantleActions[0].StatInterruptions[2].Notification,I'm too hot to sleep...,"Jest mi zbyt gorąco, żeby usnąć..."
Hammock_DismantleActions[0].StatInterruptions[3].Notification,I'm too cold to sleep...,"Jest mi zbyt zimno, żeby usnąć..."
Hammock_DismantleActions[0].StatInterruptions[4].Notification,I'm losing too much blood...,Tracę za dużo krwi...
Hammock_DismantleActions[0].StatInterruptions[5].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
Hammock_DismantleActions[0].StatInterruptions[6].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
Hammock_DismantleActions[0].FadeMessage,Taking a nap...,Drzemka...
Hammock_DismantleActions[1].ActionName,Sleep,Śpij
Hammock_DismantleActions[1].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Za bardzo chce mi się pić, żeby usnąć..."
Hammock_DismantleActions[1].StatInterruptions[2].Notification,I'm too hot to sleep...,"Jest mi zbyt gorąco, żeby usnąć..."
Hammock_DismantleActions[1].StatInterruptions[3].Notification,I'm too cold to sleep...,"Jest mi zbyt zimno, żeby usnąć..."
Hammock_DismantleActions[1].StatInterruptions[4].Notification,I'm losing too much blood...,Tracę za dużo krwi...
Hammock_DismantleActions[1].StatInterruptions[5].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
Hammock_DismantleActions[1].StatInterruptions[6].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
Hammock_DismantleActions[1].FadeMessage,Sleeping...,Spanie...
Hammock_DismantleActions[2].ActionName,Dismantle,Rozbierz na części
LeafBed_CardName,Leaf Bed,Łóżko z liści
LeafBed_CardDescription,More comfortable than a shelter.\nShould make sure to keep it in good shape by adding new leaves.,"Wygodniejsze niż proste schronienie.\nNależy dbać o jego dobry stan, dodając nowe liście."
LeafBed_CardInteractions[0].ActionName,Repair Bed,Napraw łóżko
LeafBed_DismantleActions[0].ActionName,Nap,Drzemaj
LeafBed_DismantleActions[0].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Za bardzo chce mi się pić, żeby usnąć..."
LeafBed_DismantleActions[0].StatInterruptions[2].Notification,I'm too hot to sleep...,"Jest mi zbyt gorąco, żeby usnąć..."
LeafBed_DismantleActions[0].StatInterruptions[3].Notification,I'm too cold to sleep...,"Jest mi zbyt zimno, żeby usnąć..."
LeafBed_DismantleActions[0].StatInterruptions[4].Notification,I'm losing too much blood...,Tracę za dużo krwi...
LeafBed_DismantleActions[0].StatInterruptions[5].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
LeafBed_DismantleActions[0].StatInterruptions[6].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
LeafBed_DismantleActions[0].StatInterruptions[7].Notification,I can't sleep in the middle of a storm!,Nie mogę spać w środku burzy!
LeafBed_DismantleActions[0].FadeMessage,Taking a nap...,Drzemka...
LeafBed_DismantleActions[1].ActionName,Sleep,Śpij
LeafBed_DismantleActions[1].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Za bardzo chce mi się pić, żeby usnąć..."
LeafBed_DismantleActions[1].StatInterruptions[2].Notification,I'm too hot to sleep...,"Jest mi zbyt gorąco, żeby usnąć..."
LeafBed_DismantleActions[1].StatInterruptions[3].Notification,I'm too cold to sleep...,"Jest mi zbyt zimno, żeby usnąć..."
LeafBed_DismantleActions[1].StatInterruptions[4].Notification,I'm losing too much blood...,Tracę za dużo krwi...
LeafBed_DismantleActions[1].StatInterruptions[5].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
LeafBed_DismantleActions[1].StatInterruptions[6].Notification,I'm not feeling well...,Nie czuję się zbyt dobrze...
LeafBed_DismantleActions[1].StatInterruptions[7].Notification,I can't sleep in the middle of a storm!,Nie mogę spać w środku burzy!
LeafBed_DismantleActions[1].FadeMessage,Sleeping...,Spanie...
MermaidNest_CardName,Mermaid nest,Gniazdo syreny
